"Owning Library","Item Barcode","Shelving Location Name","Use Count","Title","Author","Pubdate","Callnumber Label","Dewy Hundreds","Dewy Tens","Status","Deleted","Price","Edit Date","Create Date"
"OCRL-DUBLN","31040000016302","LG-PRNT","25","Gunshot trail","Nye, Nelson C. (Nelson Coral) 1907-1997","2001","LP WES NYE",,,"13","1","25.00","2019-06-29","2003-02-07"
"OCRL-DUBLN","31040000016666","YA","7","If I should die before I wake","Nolan, Han.","1994","YA NOLA",,,"13","1","25.00","2019-06-29","2001-07-16"
"OCRL-DUBLN","31040000016831","YA","17","Year of the griffin","Jones, Diana Wynne","2000","YA JONE",,,"13","1","25.00","2019-06-29","2001-07-13"
"OCRL-DUBLN","31040000016989","YA","12","Armageddon summer","Yolen, Jane","1998","YA YOLE",,,"13","1","25.00","2019-06-29","2001-07-13"
"OCRL-DUBLN","31040000017037","YA","11","Bad, badder, baddest","Voigt, Cynthia","1997","YA VOIG",,,"13","1","25.00","2019-06-29","2001-07-13"
"OCRL-DUBLN","31040000017078","YA","16","Just Ella","Haddix, Margaret Peterson","1999","YA HADD",,,"13","1","25.00","2019-06-29","2001-07-13"
"OCRL-DUBLN","31040000017086","YA","8","The beasties","Sleator, William","1997","YA SLEA",,,"13","1","25.00","2019-06-29","2001-07-13"
"OCRL-DUBLN","31040000017128","YA","6","Homeless bird","Whelan, Gloria","2000","YA WHEL",,,"13","1","25.00","2019-06-29","2001-07-13"
"OCRL-DUBLN","31040000019967","LG-PRNT","41","The marriage risk","Darcy, Emma","2000","LP FIC DARC",,,"13","1","25.00","2019-06-29","2003-02-11"
"OCRL-DUBLN","31040000021443","LG-PRNT","6","Coping with macular degeneration : a guide for patients and families to understanding and living with degenerative vision disorder","Price, Ira Marc.","2001","LP 617.735 PRIC","600","610","13","1","25.00","2019-06-29","2001-08-10"
"OCRL-DUBLN","31040000032812","JUV","11","Time for bed, Elephant Small","Grindley, Sally","1999","E GRIN",,,"13","1","25.00","2019-06-29","2001-08-22"
"OCRL-DUBLN","31040000035336","LG-PRNT","77","The black echo","Connelly, Michael 1956-","2001","LP FIC CONN",,,"13","1","25.00","2019-06-29","2001-09-12"
"OCRL-DUBLN","31040000039114","LG-PRNT","45","The winning hand","Roberts, Nora","2001","LP FIC ROBE",,,"13","1","25.00","2019-06-29","2001-12-04"
"OCRL-DUBLN","31040000039122","LG-PRNT","5","Crazy Horse","McMurtry, Larry","1999","LP 92 CRAZY HORSE",,,"13","1","25.00","2019-06-29","2001-12-04"
"OCRL-DUBLN","31040000039965","LG-PRNT","18","The substitute wife","McMahon, Barbara","2001","LP FIC MCMA",,,"13","1","25.00","2019-06-29","2001-12-04"
"OCRL-DUBLN","31040000042449","YA","5","Down the Yukon","Hobbs, Will","2001","YA HOBB",,,"13","1","25.00","2019-06-29","2001-12-05"
"OCRL-DUBLN","31040000049014","LG-PRNT","3","My journey : from an Iowa farm to a cathedral of dreams","Schuller, Robert H. (Robert Harold) 1926-","2001","LP 285.7 SCHU","200","280","13","1","25.00","2019-06-29","2002-03-04"
"OCRL-DUBLN","31040000054980","YA","6","The last book in the universe","Philbrick, W. R. (W. Rodman)","2000","YA PHIL",,,"13","1","25.00","2019-06-29","2002-03-26"
"OCRL-DUBLN","31040000079839","LG-PRNT","15","Moments of grace : when God touches our lives unexpectedly","Walsch, Neale Donald","2002","LP 291.4 WALS","200","290","13","1","25.00","2019-06-29","2002-04-23"
"OCRL-DUBLN","31040000080274","LG-PRNT","39","Once upon a rose",,"2002","LP FIC ROBE",,,"13","1","25.00","2019-06-29","2002-04-23"
"OCRL-DUBLN","31040000083203","LG-PRNT","54","A darkness more than night : a novel","Connelly, Michael 1956-","2001","LP FIC CONN",,,"13","1","25.00","2019-06-29","2002-04-24"
"OCRL-DUBLN","31040000084342","YA","3","The buccaneers","Lawrence, Iain 1955-","2001","YA LAWR",,,"13","1","25.00","2019-06-29","2002-04-30"
"OCRL-DUBLN","31040000084474","YA","4","The land","Taylor, Mildred D.","2001","YA TAYL",,,"13","1","25.00","2019-06-29","2002-04-30"
"OCRL-DUBLN","31040000085802","YA","9","Walk two moons","Creech, Sharon.","1994","YA CREE",,,"13","1","25.00","2019-06-29","2002-05-08"
"OCRL-DUBLN","31040000088764","YA","5","A step from heaven","An, Na 1972-","2001","YA NA",,,"13","1","25.00","2019-06-29","2002-05-15"
"OCRL-DUBLN","31040000090893","JUV","6","Nasty, stinky sneakers","Bunting, Eve 1928-","1995","J BUNT",,,"13","1","25.00","2019-06-29","2002-05-29"
"OCRL-DUBLN","31040000092154","JUV","32","Toy story 2 : a read-aloud storybook","Zoehfeld, Kathleen Weidner","2000","E ZOEH",,,"13","1","20.00","2019-06-29","2002-05-29"
"OCRL-DUBLN","31040000093111","YA","20","Brian's winter","Paulsen, Gary","1998","YA PAUL",,,"13","1","25.00","2019-06-29","2002-06-10"
"OCRL-DUBLN","31040000093780","YA","6","The wind singer : an adventure","Nicholson, William","2000","YA NICH",,,"13","1","25.00","2019-06-29","2002-06-07"
"OCRL-DUBLN","31040000105345","REF","0","Current biography yearbook.",,"1955","REF 920.03 CURR 1989","900","920","13","1","25.00","2019-06-29","2002-07-11"
"OCRL-DUBLN","31040000105394","REF","0","Current biography yearbook.",,"1955","REF 920.03 CURR 1990","900","920","13","1","25.00","2019-06-29","2004-08-21"
"OCRL-DUBLN","31040000105444","REF","0","Current biography yearbook.",,"1955","REF 920.03 CURR 1991","900","920","13","1","25.00","2019-06-29","2004-08-21"
"OCRL-DUBLN","31040000105493","REF","0","Current biography yearbook.",,"1955","REF 920.03 CURR 2000","900","920","13","1","25.00","2019-06-29","2002-07-12"
"OCRL-DUBLN","31040000105600","REF","0","Current biography yearbook.",,"1955","REF 920.03 CURR 2001","900","920","13","1","25.00","2019-06-29","2002-07-12"
"OCRL-DUBLN","31040000106582","YA","15","The Named","Curley, Marianne","2002","YA CURL",,,"13","1","25.00","2019-06-29","2004-05-28"
"OCRL-DUBLN","31040000106772","YA","5","In the stone circle","Kimmel, Elizabeth Cody","1998","YA KIMM",,,"13","1","25.00","2019-06-29","2004-05-28"
"OCRL-DUBLN","31040000111780","NONFIC","6","The weigh down diet","Shamblin, Gwen.","1997","613.25 SHAM","600","610","13","1","25.00","2019-06-29","2002-08-13"
"OCRL-DUBLN","31040000112549","YA","2","Shattered : stories of children and war",,"2002","YA SHAT",,,"13","1","25.00","2019-06-29","2003-01-02"
"OCRL-DUBLN","31040000115740","NONFIC","7","Civil War artillery at Gettysburg : organization, equipment, ammunition and tactics","Cole, Philip M.","2002","973.73 COLE","900","970","13","1","25.00","2019-06-29","2004-10-20"
"OCRL-DUBLN","31040000116599","JUV","16","Book of nursery and Mother Goose rhymes.","De Angeli, Marguerite 1889-1987","1954","J 398 DEAN","300","390","13","1","25.00","2019-06-29","2002-08-27"
"OCRL-DUBLN","31040000118926","LG-PRNT","33","A walk in the woods : rediscovering America on the Appalachian Trail","Bryson, Bill","1998","LP 917.404 BRYS","900","910","13","1","25.00","2019-06-29","2002-10-08"
"OCRL-DUBLN","31040000119080","FIC","12","Red dragon","Harris, Thomas 1940-","1981","FIC HARR",,,"13","1","25.00","2019-06-29","2002-10-08"
"OCRL-DUBLN","31040000119163","FIC","3","Militant Islam reaches America","Pipes, Daniel 1949-","2002","320.55 PIPE","300","320","13","1","25.00","2019-06-29","2002-10-07"
"OCRL-DUBLN","31040000133719","NONFIC","11","The new drawing on the right side of the brain","Edwards, Betty (Betty Anne) 1926-","1999","741.2 EDWA","700","740","13","1","25.00","2019-06-29","2003-08-19"
"OCRL-DUBLN","31040000151034","NONFIC","5","Muscular dystrophy in children : a guide for families","Siegel, Irwin M. 1927-","1999","618.92748 SIEG","600","610","13","1","25.00","2019-06-29","2003-08-28"
"OCRL-DUBLN","31040000162486","NONFIC","3","The breast cancer prevention diet : the powerful foods, supplements, and drugs that can save your life","Arnot, Robert Burns","1998","616.99449 ARNO","600","610","13","1","25.00","2019-06-29","2004-06-10"
"OCRL-DUBLN","31040000164680","NONFIC","1","WWII air war : the men, the machines, the missions",,"1998","940.544 WORL","900","940","13","1","25.00","2019-06-29","2004-06-18"
"OCRL-DUBLN","31040000168806","LG-PRNT","9","'Tis herself : a memoir","O'Hara, Maureen 1920-2015","2004","LP 92 O'HARA",,,"13","1","25.00","2019-06-29","2004-07-13"
"OCRL-DUBLN","31040000169150","LG-PRNT","30","Second Sunday","Bowen, Michele Andrea","2004","LP FIC BOWE",,,"13","1","25.00","2019-06-29","2004-07-13"
"OCRL-DUBLN","31040000169242","LG-PRNT","2","The Red Hat Society : fun and friendship after fifty","Cooper, Sue Ellen.","2004","LP 305.244 COOP","300","300","13","1","25.00","2019-06-29","2004-07-14"
"OCRL-DUBLN","31040000171453","YA","4","Letters from Wolfie","Sherlock, Patti.","2004","YA SHER",,,"13","1","25.00","2019-06-29","2004-07-20"
"OCRL-DUBLN","31040000172634","LG-PRNT","34","Chicken soup for the golden soul : heartwarming stories of people 60 and over",,"2000","LP 158.128 CANF","100","150","13","1","25.00","2019-06-29","2004-07-22"
"OCRL-DUBLN","31040000172816","YA","13","Stoner & Spaz","Koertge, Ronald","2004","YA KOER",,,"13","1","25.00","2019-06-29","2004-08-04"
"OCRL-DUBLN","31040000172956","YA","11","No more dead dogs","Korman, Gordon","2000","YA KORM",,,"13","1","25.00","2019-06-29","2004-07-30"
"OCRL-DUBLN","31040000174721","YA","11","Wendy","Wallace, Karen","2004","YA WALL",,,"13","1","25.00","2019-06-29","2004-07-28"
"OCRL-DUBLN","31040000174762","YA","3","The gospel according to Larry","Tashjian, Janet","2003","YA TASH",,,"13","1","25.00","2019-06-29","2004-07-28"
"OCRL-DUBLN","31040000175504","YA","15","Brian's hunt","Paulsen, Gary","2003","YA PAUL",,,"13","1","25.00","2019-06-29","2004-07-30"
"OCRL-DUBLN","31040000183037","LG-PRNT","4","I ain't got time to bleed : reworking the body politic from the bottom up","Ventura, Jesse.","1999","LP 92 VENTURA JESSE",,,"13","1","25.00","2019-06-29","2002-10-29"
"OCRL-DUBLN","31040000183086","LG-PRNT","5","The merciful God of prophecy : his loving plan for you in the end times","LaHaye, Tim 1926-2016","2002","LP 231.745 LAHA","200","230","13","1","25.00","2019-06-29","2002-10-29"
"OCRL-DUBLN","31040000196187","YA","11","Saving Francesca","Marchetta, Melina 1965-","2004","YA MARC",,,"13","1","25.00","2019-06-29","2004-10-26"
"OCRL-DUBLN","31040000199454","NONFIC","4","Rescuing the emotional lives of overweight children : what our kids go through-- and how we can help","Rimm, Sylvia B. 1935-","2004","618.923 RIMM","600","610","13","1","25.00","2019-06-29","2004-11-03"
"OCRL-DUBLN","31040000200609","YA","2","Depression is the pits, but I'm getting better : a guide for adolescents","Garland, E. Jane.","1997","YA 616.8527 GARL","600","610","13","1","25.00","2019-06-29","2004-11-05"
"OCRL-DUBLN","31040000200690","YA","19","The year of secret assignments","Moriarty, Jaclyn","2004","YA MORI",,,"13","1","25.00","2019-06-29","2004-11-05"
"OCRL-DUBLN","31040000200898","YA","9","Girl, 15, charming but insane","Limb, Sue","2004","YA LIMB",,,"13","1","25.00","2019-06-29","2004-11-05"
"OCRL-DUBLN","31040000200997","YA","7","No shame, no fear","Turnbull, Ann","2004","YA TURN",,,"13","1","25.00","2019-06-29","2004-11-05"
"OCRL-DUBLN","31040000201656","YA","4","The Merlin Conspiracy","Jones, Diana Wynne","2003","YA JONE",,,"13","1","25.00","2019-06-29","2004-11-09"
"OCRL-DUBLN","31040000202159","YA","9","Doormat : a novel","McWilliams, Kelly.","2004","YA MCWI",,,"13","1","25.00","2019-06-29","2004-11-09"
"OCRL-DUBLN","31040000202365","YA","2","Everything you need to know about teen motherhood","Hammerslough, Jane.","2001","YA 306.8743 HAMM","300","300","13","1","25.00","2019-06-29","2004-11-09"
"OCRL-DUBLN","31040000206358","LG-PRNT","9","A tramp abroad","Twain, Mark 1835-1910","2003","LP 914 TWAI","900","910","13","1","25.00","2019-06-29","2004-12-15"
"OCRL-DUBLN","31040000210160","YA","5","STDs","Connolly, Sean 1956-","2003","YA 616.95 CONN","600","610","13","1","25.00","2019-06-29","2005-01-13"
"OCRL-DUBLN","31040000210459","YA","4","Eating disorders","Warbrick, Caroline 1961-","2003","YA 616.85 WARB","600","610","13","1","25.00","2019-06-29","2005-01-17"
"OCRL-DUBLN","31040000210517","YA","4","Teen pregnancy","Nolan, Mary 1956-","2003","YA 306.874 NOLA","300","300","13","1","25.00","2019-06-29","2005-01-13"
"OCRL-DUBLN","31040000211325","LG-PRNT","1","The Readers' digest Bible : condensed from the Revised Standard Version Old and New Testaments",,"1993","LP 220.5204 BIB INDEX","200","220","13","1","25.00","2019-06-29","2005-01-26"
"OCRL-DUBLN","31040000211374","LG-PRNT","10","The Readers' digest Bible : condensed from the Revised Standard Version Old and New Testaments",,"1993","LP 220.5204 BIB V.I","200","220","13","1","25.00","2019-06-29","2005-01-26"
"OCRL-DUBLN","31040000211424","LG-PRNT","6","The Readers' digest Bible : condensed from the Revised Standard Version Old and New Testaments",,"1993","LP 220.5204 BIB V.2","200","220","13","1","25.00","2019-06-29","2005-01-26"
"OCRL-DUBLN","31040000211473","LG-PRNT","2","The Readers' digest Bible : condensed from the Revised Standard Version Old and New Testaments",,"1993","LP 220.5204 BIB V.3","200","220","13","1","25.00","2019-06-29","2005-01-26"
"OCRL-DUBLN","31040000213461","JUV","23","Lemons are not red","Seeger, Laura Vaccaro","2004","E SEEG",,,"13","1","25.00","2019-06-29","2005-01-28"
"OCRL-DUBLN","31040000214030","YA","9","Annie, between the states","Elliott, Laura 1957-","2004","YA ELLI",,,"13","1","25.00","2019-06-29","2005-02-05"
"OCRL-DUBLN","31040000214584","YA","4","Chanda's secrets","Stratton, Allan","2004","YA STRA",,,"13","1","25.00","2019-06-29","2005-02-10"
"OCRL-DUBLN","31040000214907","NONFIC","27","101 Internet businesses you can start from home : how to choose and build your own successful e-business","Sweeney, Susan 1956-","2001","658.84 SWEE","600","650","13","1","20.00","2019-06-29","2005-02-10"
"OCRL-DUBLN","31040000240548","YA","14","Shopaholic","Waite, Judy.","2003","YA WAIT",,,"13","1","25.00","2019-06-29","2004-05-03"
"OCRL-DUBLN","31040000241983","LG-PRNT","16","On the anvil","Lucado, Max.","1996","LP 242 LUCA","200","240","13","1","25.00","2019-06-29","2004-03-01"
"OCRL-DUBLN","31040000242635","LG-PRNT","13","Medal of Honor : profiles of America's military heroes from the Civil War to the present","Mikaelian, Allen.","2002","LP 355.134 MIKA","300","350","13","1","25.00","2019-06-29","2004-03-01"
"OCRL-DUBLN","31040000244144","NONFIC","1","Fighter boys : the Battle of Britain, 1940","Bishop, Patrick (Patrick Joseph)","2003","940.544941 BISH","900","940","13","1","25.00","2019-06-29","2004-03-10"
"OCRL-DUBLN","31040000246362","NONFIC","3","Self-therapy for the stutterer","Fraser, Malcolm.","2004","616.85 FRAS","600","610","13","1","25.00","2019-06-29","2004-03-23"
"OCRL-DUBLN","31040000250596","NONFIC","0","Brothers are special",,"2001","306.875 MEAD","300","300","13","1","25.00","2019-06-29","2004-04-02"
"OCRL-DUBLN","31040000251560","NONFIC","7","You don't really know me : why mothers & daughters fight and how both can win","Apter, T. E.","2004","306.874 APTE","300","300","13","1","25.00","2019-06-29","2004-04-26"
"OCRL-DUBLN","31040000252832","YA","4","Dark Quetzal","Roberts, Katherine 1962-","2003","YA ROBE",,,"13","1","25.00","2019-06-29","2004-05-03"
"OCRL-DUBLN","31040000252881","YA","7","Under a war-torn sky","Elliott, Laura 1957-","2001","YA ELLI",,,"13","1","25.00","2019-06-29","2004-05-03"
"OCRL-DUBLN","31040000266873","LG-PRNT","2","A field guide to the birds : eastern and central North America","Peterson, Roger Tory 1908-1996","1999","LP 598.097 PETE","500","590","13","1","25.00","2019-06-29","2004-05-06"
"OCRL-DUBLN","31040000267111","YA","8","Soldier boys","Hughes, Dean 1943-","2001","YA HUGH",,,"13","1","25.00","2019-06-29","2004-05-12"
"OCRL-DUBLN","31040000267566","YA","12","Surviving the Applewhites","Tolan, Stephanie S.","2002","YA TOLA",,,"13","1","25.00","2019-06-29","2004-05-12"
"OCRL-DUBLN","31040000268283","YA","13","Al Capone does my shirts","Choldenko, Gennifer 1957-","2004","YA CHOL",,,"13","1","25.00","2019-06-29","2004-05-20"
"OCRL-DUBLN","31040000268598","YA","3","The devil's arithmetic","Yolen, Jane","1990","YA YOLE",,,"13","1","25.00","2019-06-29","2004-05-20"
"OCRL-DUBLN","31040000268739","YA","13","Nightmare","Nixon, Joan Lowery","2003","YA NIXO",,,"13","1","25.00","2019-06-29","2004-05-20"
"OCRL-DUBLN","31040000269901","YA","5","Slam!","Myers, Walter Dean 1937-2014","2008","YA MYER",,,"13","1","25.00","2019-06-29","2004-05-17"
"OCRL-DUBLN","31040000272152","YA","5","Dark waters","MacPhail, Catherine 1946-","2003","YA MACP",,,"13","1","25.00","2019-06-29","2004-05-18"
"OCRL-DUBLN","31040000272491","YA","11","High heat","Deuker, Carl","2003","YA DEUK",,,"13","1","25.00","2019-06-29","2004-05-19"
"OCRL-DUBLN","31040000272590","YA","10","Flip","Lubar, David","2003","YA LUBA",,,"13","1","25.00","2019-06-29","2004-05-19"
"OCRL-DUBLN","31040000273721","YA","1","Escaping the giant wave","Kehret, Peg","2003","YA KEHRET PEG",,,"13","1","25.00","2019-06-29","2004-05-20"
"OCRL-DUBLN","31040000274232","YA","37","The frog princess","Baker, E. D.","2002","YA BAKE",,,"13","1","25.00","2019-06-29","2004-05-20"
"OCRL-DUBLN","31040000275171","YA","15","Flavor of the week","Shaw, Tucker.","2003","YA SHAW",,,"13","1","25.00","2019-06-29","2004-05-24"
"OCRL-DUBLN","31040000275759","YA","5","Zel","Napoli, Donna Jo 1948-","1996","YA NAPO",,,"13","1","25.00","2019-06-29","2004-05-24"
"OCRL-DUBLN","31040000275882","YA","3","Big Mouth & Ugly Girl","Oates, Joyce Carol 1938-","2002","YA OATE",,,"13","1","25.00","2019-06-29","2004-05-24"
"OCRL-DUBLN","31040000275965","YA","9","The wish list","Colfer, Eoin","2003","YA COLF",,,"13","1","25.00","2019-06-29","2004-05-24"
