"Owning Library","Last Edit Date/Time","Call Number","Title","Author","Barcode","Circ Modifier","Price","Legacy Stat Cat 1 Value"
"TRRLS-BRANT","2020-05-22","EASY AND","The steadfast tin soldier : a story","Andersen, H. C. (Hans Christian) 1805-1875","30301000040820","book","0.00","PINES-FICTION"
"TRRLS-BRANT","2020-05-22","EASY ANT","Sam's Wild West Christmas","Antle, Nancy.","30301000256426","book","14.00","PINES-FICTION"
"TRRLS-BRANT","2020-05-22","EASY AYL","My son John","Aylesworth, Jim","30301000098158","book","15.95","PINES-FICTION"
"TRRLS-BRANT","2020-05-22","EASY BAH","The memory box","Fritts, Mary Bahr 1946-","30301000054326","book","0.00","PINES-FICTION"
"TRRLS-BRANT","2020-05-22","EASY BAN","Delphine","Bang, Molly","30301000105607","book","12.95","PINES-FICTION"
"TRRLS-BRANT","2020-05-22","EASY BER","The lean mean machine : a story about handling feelings","Berry, Joy Wilt.","31006000704122","book","10.00","PINES-FICTION"
"TRRLS-BRANT","2020-05-22","EASY BER","What happened to A.J.? : a story about human rights","Berry, Joy Wilt.","31006000775031","book","9.95","PINES-FICTION"
"TRRLS-BRANT","2020-05-22","EASY BLO","Martin's hats","Blos, Joan W.","30301000100731","book","0.00","PINES-FICTION"
"TRRLS-BRANT","2020-05-22","EASY BOX","The box of tricks.",,"31006002251387","book","9.99","PINES-FICTION"
"TRRLS-BRANT","2020-05-22","EASY BRE","Annie and the wild animals","Brett, Jan 1949-","30301000018818","book","14.45","PINES-FICTION"
"TRRLS-BRANT","2020-05-22","EASY BRE","Berlioz the bear","Brett, Jan 1949-","30301000192688","book","14.95","PINES-FICTION"
"TRRLS-BRANT","2020-05-22","EASY BRE","Lion and Lamb step out","Brenner, Barbara","30301000252425","book","8.00","PINES-FICTION"
"TRRLS-BRANT","2020-05-22","EASY BRO","The world that Jack built","Brown, Ruth 1941-","31006002284263","book","13.95","PINES-FICTION"
"TRRLS-BRANT","2020-05-22","EASY BUC","Grandmother and I","Buckley, Helen E. 1918-2001","30301000100095","book","13.00","PINES-FICTION"
"TRRLS-BRANT","2020-05-22","EASY BUN","December","Bunting, Eve 1928-","30301000090775","book","15.00","PINES-FICTION"
"TRRLS-BRANT","2020-05-22","EASY BUN","Smoky night","Bunting, Eve 1928-","30301000209201","book","15.00","PINES-FICTION"
"TRRLS-BRANT","2020-05-22","EASY BUN","Someday a tree","Bunting, Eve 1928-","30301000021283","book","14.95","PINES-FICTION"
"TRRLS-BRANT","2020-05-22","EASY BUN","Sunshine Home","Bunting, Eve 1928-","31006001115252","book","15.99","PINES-FICTION"
"TRRLS-BRANT","2020-05-22","EASY BUN","The Valentine bears","Bunting, Eve 1928-","30301000262069","book","11.30","PINES-FICTION"
"TRRLS-BRANT","2020-05-22","EASY BUR","Harvey Slumfenburger's Christmas present","Burningham, John","30301000100004","book","15.95","PINES-FICTION"
