"Owning Library","Last Edit Date/Time","Call Number","Title","Author","Barcode","Circ Modifier","Price","Legacy Stat Cat 1 Value"
"TRRLS-BRANT","2020-06-29","FIC COY","Brewed awakening","Coyle, Cleo","AAAAAAAAAAAAAAA",,"0.00",
"TRRLS-CHARL","2020-06-18","FIC SPA","The wedding","Sparks, Nicholas.","31006000949669","book","23.95","PINES-FICTION"
"TRRLS-MCINT","2020-06-25","813/.54","Revenge","Patterson, James 1947-","AAAA",,"25.00",
"TRRLS-WAYNE","2020-06-22","AUDIO CD FIC BOX","Long range","Box, C. J.","31006003140811","audiobook","123.75","PINES-FICTION"
