"Short (Policy) Name","Record ID","Record Creator Home Lib"
"OCRL-DUBLN","1","CPRL-F"
"OCRL-DUBLN","1","HCLS-FV"
"OCRL-DUBLN","1","OHOOP-TATR"
"OCRL-DUBLN","1","SWGRL-SEM"
"OCRL-DUBLN","2","PIED-AUB"
"OCRL-DUBLN","5","NEG-SYSTEM"
"OCRL-DUBLN","7","CHRL-ROSS"
"OCRL-DUBLN","7","STATELIB-A"
"OCRL-DUBLN","13","PIED-COM"
"OCRL-DUBLN","14","NCLS-PORTER"
"OCRL-DUBLN","17","ECPL-ECPL"
"OCRL-DUBLN","17","HART-HQ"
"OCRL-DUBLN","18","BROOK-HQ"
"OCRL-DUBLN","18","SGRL-HAHIRA"
"OCRL-DUBLN","23","KRLS-KI"
"OCRL-DUBLN","23","PIED-MAY"
"OCRL-DUBLN","23","SJRLS-SCL"
"OCRL-DUBLN","26","ARL-ATH"
"OCRL-DUBLN","26","CHRL-LW"
"OCRL-DUBLN","27","MGRL-LA"
"OCRL-DUBLN","28","CCL-RING"
"OCRL-DUBLN","32","BTRL-MWL"
"OCRL-DUBLN","34","URRLS-MA"
"OCRL-DUBLN","37","OKRL-WWC"
"OCRL-DUBLN","37","PPL-TPL"
"OCRL-DUBLN","38","ROCK-NG"
"OCRL-DUBLN","39","WGRL-PC"
"OCRL-DUBLN","42","TRRLS-CAMDN"
"OCRL-DUBLN","43","TRRLS-HQ"
"OCRL-DUBLN","45","OHOOP-VIDT"
"OCRL-DUBLN","45","SRL-DOUG"
"OCRL-DUBLN","49","HCLS-HQS"
"OCRL-DUBLN","50","WORTH-SYLV"
"OCRL-DUBLN","58","ORLS-HDQ"
"OCRL-DUBLN","63","JCL-LVILLE"
"OCRL-DUBLN","71","LOPL-BULL"
"OCRL-DUBLN","78","CHAT-SMRVL"
"OCRL-DUBLN","84","LBRLS-LB"
"OCRL-DUBLN","95","FRRLS-GR"
"OCRL-DUBLN","97","DTRL-CAMI"
"OCRL-DUBLN","97","NGRL-DW"
"OCRL-DUBLN","115","HCLS-ST"
"OCRL-DUBLN","131","CPRL-R"
"OCRL-DUBLN","137","SGRL-VALDOSTA"
"OCRL-DUBLN","143","CLAYTN-HQS"
"OCRL-DUBLN","148","MCCLS-HQ"
"OCRL-DUBLN","148","TLLS-MV"
"OCRL-DUBLN","157","HALL-GVL"
"OCRL-DUBLN","166","MRLS-MRL"
"OCRL-DUBLN","184","RML-MAIN"
"OCRL-DUBLN","190","MOGL-SSI"
"OCRL-DUBLN","212","NCLS-COVTN"
"OCRL-DUBLN","217","CRLS-DAWSN"
"OCRL-DUBLN","240","THRL-LAG"
"OCRL-DUBLN","249","PIED-JEF"
"OCRL-DUBLN","249","TCPLS-THOMAS"
"OCRL-DUBLN","278","PMRLS-MPL"
"OCRL-DUBLN","299","NEG-CLRKVL"
"OCRL-DUBLN","323","MOGL-BWK"
"OCRL-DUBLN","337","KRLS-TE"
"OCRL-DUBLN","355","STRL-SBORO"
"OCRL-DUBLN","372","MGRL-WA"
"OCRL-DUBLN","382","ARCPLS-MAIN"
"OCRL-DUBLN","395","LEE-LSB"
"OCRL-DUBLN","438","MGRL-RV"
"OCRL-DUBLN","453","OCRL-DUBLN"
"OCRL-DUBLN","454","SHRL-RM"
"OCRL-DUBLN","473","PIED-WIN"
"OCRL-DUBLN","503","GCHR-CCO"
"OCRL-DUBLN","528","HCLS-MD"
"OCRL-DUBLN","741","WGRL-HQ"
"OCRL-DUBLN","846","FRRLS-PT"
"OCRL-DUBLN","874","HOU-PE"
"OCRL-DUBLN","1147","SWGRL-DEC"
"OCRL-DUBLN","1509","DCPL-CEN"
"OCRL-DUBLN","3698","STATELIB-L"
"OCRL-DUBLN","58443","PINES"
"OCRL-GIBSN","1","CHRL-ROSS"
"OCRL-GIBSN","1","NEG-SYSTEM"
"OCRL-GIBSN","1","OHOOP-MONT"
"OCRL-GIBSN","2","CCL-RING"
"OCRL-GIBSN","2","MGRL-LA"
"OCRL-GIBSN","2","PIED-MAY"
"OCRL-GIBSN","2","SGRL-HAHIRA"
"OCRL-GIBSN","2","SJRLS-SCL"
"OCRL-GIBSN","2","STATELIB-A"
"OCRL-GIBSN","2","TRRLS-HQ"
"OCRL-GIBSN","3","BROOK-HQ"
"OCRL-GIBSN","3","NCLS-PORTER"
"OCRL-GIBSN","3","URRLS-MA"
"OCRL-GIBSN","4","ECPL-ECPL"
"OCRL-GIBSN","4","OHOOP-VIDT"
"OCRL-GIBSN","4","PIED-COM"
"OCRL-GIBSN","5","ARL-ATH"
"OCRL-GIBSN","5","HART-HQ"
"OCRL-GIBSN","5","NGRL-DW"
"OCRL-GIBSN","5","ROCK-NG"
"OCRL-GIBSN","5","WGRL-PC"
"OCRL-GIBSN","6","OKRL-WWC"
"OCRL-GIBSN","7","BTRL-MWL"
"OCRL-GIBSN","7","KRLS-KI"
"OCRL-GIBSN","8","CHRL-LW"
"OCRL-GIBSN","8","HCLS-HQS"
"OCRL-GIBSN","8","LBRLS-LB"
"OCRL-GIBSN","9","ORLS-HDQ"
"OCRL-GIBSN","9","PPL-TPL"
"OCRL-GIBSN","9","SRL-DOUG"
"OCRL-GIBSN","10","MOGL-SSI"
"OCRL-GIBSN","10","TRRLS-CAMDN"
"OCRL-GIBSN","13","HALL-GVL"
"OCRL-GIBSN","14","FRRLS-GR"
"OCRL-GIBSN","15","CPRL-R"
"OCRL-GIBSN","15","HCLS-ST"
"OCRL-GIBSN","15","JCL-LVILLE"
"OCRL-GIBSN","17","WORTH-SYLV"
"OCRL-GIBSN","19","LOPL-BULL"
"OCRL-GIBSN","20","DTRL-CAMI"
"OCRL-GIBSN","24","CHAT-SMRVL"
"OCRL-GIBSN","25","CLAYTN-HQS"
"OCRL-GIBSN","26","THRL-LAG"
"OCRL-GIBSN","27","TLLS-MV"
"OCRL-GIBSN","29","MOGL-BWK"
"OCRL-GIBSN","29","PMRLS-MPL"
"OCRL-GIBSN","29","RML-MAIN"
"OCRL-GIBSN","32","MRLS-MRL"
"OCRL-GIBSN","33","MCCLS-HQ"
"OCRL-GIBSN","34","PIED-JEF"
"OCRL-GIBSN","39","TCPLS-THOMAS"
"OCRL-GIBSN","43","STRL-SBORO"
"OCRL-GIBSN","47","SGRL-VALDOSTA"
"OCRL-GIBSN","48","NEG-CLRKVL"
"OCRL-GIBSN","49","CRLS-DAWSN"
"OCRL-GIBSN","51","NCLS-COVTN"
"OCRL-GIBSN","52","HCLS-MD"
"OCRL-GIBSN","53","OCRL-DUBLN"
"OCRL-GIBSN","57","LEE-LSB"
"OCRL-GIBSN","57","MGRL-RV"
"OCRL-GIBSN","58","MGRL-WA"
"OCRL-GIBSN","67","ARCPLS-MAIN"
"OCRL-GIBSN","73","KRLS-TE"
"OCRL-GIBSN","74","PIED-WIN"
"OCRL-GIBSN","82","GCHR-CCO"
"OCRL-GIBSN","85","SHRL-RM"
"OCRL-GIBSN","133","WGRL-HQ"
"OCRL-GIBSN","136","HOU-PE"
"OCRL-GIBSN","144","FRRLS-PT"
"OCRL-GIBSN","171","SWGRL-DEC"
"OCRL-GIBSN","359","DCPL-CEN"
"OCRL-GIBSN","473","STATELIB-L"
"OCRL-GIBSN","4918","PINES"
"OCRL-SANDR","1","STATELIB-A"
"OCRL-SANDR","4","NEG-SYSTEM"
"OCRL-SANDR","6","NCLS-PORTER"
"OCRL-SANDR","7","CHRL-ROSS"
"OCRL-SANDR","7","PIED-COM"
"OCRL-SANDR","7","SJRLS-SCL"
"OCRL-SANDR","8","OKRL-WWC"
"OCRL-SANDR","9","BROOK-HQ"
"OCRL-SANDR","9","CCL-RING"
"OCRL-SANDR","9","MGRL-LA"
"OCRL-SANDR","10","BTRL-MWL"
"OCRL-SANDR","10","PIED-MAY"
"OCRL-SANDR","11","SGRL-HAHIRA"
"OCRL-SANDR","12","ARL-ATH"
"OCRL-SANDR","12","ROCK-NG"
"OCRL-SANDR","13","HART-HQ"
"OCRL-SANDR","13","OHOOP-VIDT"
"OCRL-SANDR","14","ECPL-ECPL"
"OCRL-SANDR","15","CHRL-LW"
"OCRL-SANDR","16","URRLS-MA"
"OCRL-SANDR","17","TRRLS-HQ"
"OCRL-SANDR","18","PPL-TPL"
"OCRL-SANDR","20","TRRLS-CAMDN"
"OCRL-SANDR","22","SRL-DOUG"
"OCRL-SANDR","23","HCLS-HQS"
"OCRL-SANDR","24","NGRL-DW"
"OCRL-SANDR","24","WGRL-PC"
"OCRL-SANDR","28","KRLS-KI"
"OCRL-SANDR","28","WORTH-SYLV"
"OCRL-SANDR","31","LOPL-BULL"
"OCRL-SANDR","32","ORLS-HDQ"
