"Library Short (Policy) Name","Check Out Month","Circulation Modifier","Count"
"OCRL-SANDR","2019-07","cd","23"
"OCRL-SANDR","2019-07","dvd-0","5"
"OCRL-SANDR","2019-07","dvd-2","408"
"OCRL-SANDR","2019-07","e-device","18"
"OCRL-SANDR","2019-07","video-long","3"
"OCRL-SANDR","2019-07",,"7"
"OCRL-SANDR","2019-08","audiobook","52"
"OCRL-SANDR","2019-08","book","1528"
"OCRL-SANDR","2019-08","cd","22"
"OCRL-SANDR","2019-08","dvd-0","3"
"OCRL-SANDR","2019-08","dvd-2","412"
"OCRL-SANDR","2019-08","e-device","8"
"OCRL-SANDR","2019-08","statepass","8"
"OCRL-SANDR","2019-08",,"11"
"OCRL-SANDR","2019-09","audiobook","44"
"OCRL-SANDR","2019-09","book","1441"
"OCRL-SANDR","2019-09","cd","17"
"OCRL-SANDR","2019-09","dvd-0","1"
"OCRL-SANDR","2019-09","dvd-2","320"
"OCRL-SANDR","2019-09","e-device","11"
"OCRL-SANDR","2019-09",,"9"
"OCRL-SANDR","2019-10","audiobook","33"
"OCRL-SANDR","2019-10","book","1115"
"OCRL-SANDR","2019-10","cd","18"
"OCRL-SANDR","2019-10","dvd-2","185"
"OCRL-SANDR","2019-10","e-device","11"
"OCRL-SANDR","2019-10","statepass","2"
"OCRL-SANDR","2019-10","video-long","10"
"OCRL-SANDR","2019-10",,"7"
"OCRL-SANDR","2019-11","audiobook","19"
"OCRL-SANDR","2019-11","book","1129"
"OCRL-SANDR","2019-11","cd","7"
"OCRL-SANDR","2019-11","dvd-2","237"
"OCRL-SANDR","2019-11","e-device","9"
"OCRL-SANDR","2019-11","video-long","22"
"OCRL-SANDR","2019-11",,"6"
"OCRL-SANDR","2019-12","audiobook","24"
"OCRL-SANDR","2019-12","book","739"
"OCRL-SANDR","2019-12","cd","11"
"OCRL-SANDR","2019-12","dvd-2","176"
"OCRL-SANDR","2019-12","e-device","1"
"OCRL-SANDR","2019-12","video-long","12"
"OCRL-SANDR","2019-12",,"1"
"OCRL-SANDR","2020-01","audiobook","28"
"OCRL-SANDR","2020-01","book","1293"
"OCRL-SANDR","2020-01","cd","29"
"OCRL-SANDR","2020-01","dvd-2","409"
"OCRL-SANDR","2020-01","e-device","2"
"OCRL-SANDR","2020-01","video-long","21"
"OCRL-SANDR","2020-01",,"13"
"OCRL-SANDR","2020-02","audiobook","31"
"OCRL-SANDR","2020-02","book","1312"
"OCRL-SANDR","2020-02","cd","8"
"OCRL-SANDR","2020-02","dvd-2","280"
"OCRL-SANDR","2020-02","e-device","2"
"OCRL-SANDR","2020-02","statepass","2"
"OCRL-SANDR","2020-02","video-long","5"
"OCRL-SANDR","2020-02",,"8"
"OCRL-SANDR","2020-03","audiobook","29"
"OCRL-SANDR","2020-03","book","839"
"OCRL-SANDR","2020-03","cd","17"
"OCRL-SANDR","2020-03","dvd-2","133"
"OCRL-SANDR","2020-03","video-long","3"
"OCRL-SANDR","2020-03",,"3"
"OCRL-SANDR","2020-04","book","84"
"OCRL-SANDR","2020-04","dvd-2","16"
"OCRL-SANDR","2020-04","statepass","1"
"OCRL-SANDR","2020-04",,"1"
"OCRL-SANDR","2020-05","book","63"
"OCRL-SANDR","2020-05","statepass","2"
"OCRL-SANDR","2020-06","audiobook","1"
"OCRL-SANDR","2020-06","book","447"
"OCRL-SANDR","2020-06","dvd-2","21"
"OCRL-SANDR","2020-06","statepass","3"
"OCRL-SOPER","2019-07","book","487"
"OCRL-SOPER","2019-07","dvd-0","3"
"OCRL-SOPER","2019-07","dvd-2","77"
"OCRL-SOPER","2019-07",,"7"
"OCRL-SOPER","2019-08","book","364"
"OCRL-SOPER","2019-08","dvd-0","1"
"OCRL-SOPER","2019-08","dvd-2","49"
"OCRL-SOPER","2019-09","book","501"
"OCRL-SOPER","2019-09","dvd-0","1"
"OCRL-SOPER","2019-09","dvd-2","67"
"OCRL-SOPER","2019-09",,"7"
"OCRL-SOPER","2019-10","audiobook","1"
"OCRL-SOPER","2019-10","book","349"
"OCRL-SOPER","2019-10","dvd-0","2"
"OCRL-SOPER","2019-10","dvd-2","47"
"OCRL-SOPER","2019-10","statepass","2"
"OCRL-SOPER","2019-10",,"4"
