"Owning Library","Item Barcode","Use Count","Shelving Location Name","Title","Author","Pubdate","Callnumber Label","Dewy Hundreds","Dewy Tens","Status","Deleted","Price","Create Date","Edit Date"
"OCRL-DUBLN","0315490","0","BHDESK","Digital talking book player.",,"[n.d.]","TALKING BOOK PLAYER",,,"5","0","25.00","2019-02-19","2019-02-19"
"OCRL-DUBLN","0332030","0","AV","Digital talking book player.",,"[n.d.]","TALKING BOOK PLAYER",,,"5","0","0.00","2018-12-20","2018-12-20"
"OCRL-DUBLN","31040000287820","0","NONFIC","A history of the Georgia Baptist Convention, 1822-1972.","Lester, James Adams.","1972","GA 286 LEST","200","280","0","0","25.00","2018-10-01","2019-01-15"
"OCRL-DUBLN","31040000349455","0","JUV","The sixty-eight rooms","Malone, Marianne.","2010","J MALO",,,"0","0","25.00","2018-11-01","2018-11-05"
"OCRL-DUBLN","31040000349505","0","JUV","Supergifted","Korman, Gordon","2018","J KORM",,,"0","0","25.00","2018-11-01","2018-11-05"
"OCRL-DUBLN","31040000465236","0","NONFIC","Dealing with people you can't stand : how to bring out the best in people at their worst","Brinkman, Rick","1994","158.2 BRIN","100","150","5","0","25.00","2018-12-22","2018-12-22"
"OCRL-DUBLN","31040000929421","0","NONFIC","Cherries in winter : my family's recipe for hope in hard times","Colón, Suzan","2009","394.120973 COLO","300","390","0","0","25.00","2018-07-17","2018-07-17"
"OCRL-DUBLN","31040001079515","14","JUV","The wimpy kid movie diary : how Greg Heffley went Hollywood","Kinney, Jeff","2010","J KINN",,,"1","0","25.00","2018-09-06","2019-06-18"
"OCRL-DUBLN","31040001080554","0","JUV","Waylon! : even more awesome","Pennypacker, Sara 1951-","2017","J PENN",,,"0","0","25.00","2018-11-01","2018-11-05"
"OCRL-DUBLN","31040001080562","0","JUV","Showing off","Mlynowski, Sarah","2017","J MLYN",,,"0","0","25.00","2018-11-01","2018-11-05"
"OCRL-DUBLN","31040001080570","0","JUV","Charmed","Calonita, Jen","2016","J CALO",,,"0","0","25.00","2018-11-01","2018-11-05"
"OCRL-DUBLN","31040001080588","0","JUV","The new kid","English, Karen","2017","J ENGL",,,"0","0","25.00","2018-11-01","2018-11-05"
"OCRL-DUBLN","31040001080976","3","LG-PRNT","The temp","Frances, Michelle","2019","LP FIC FRAN",,,"1","0","25.00","2019-04-16","2019-06-26"
"OCRL-DUBLN","31040001080984","3","LG-PRNT","The Magnolia Inn","Brown, Carolyn 1948-","2019","LP FIC BROW",,,"0","0","25.00","2019-04-16","2019-05-23"
"OCRL-DUBLN","31040001083657","3","FIC","Those girls","Stevens, Chevy","2016","FIC STEV",,,"1","0","5.00","2019-04-16","2019-06-17"
"OCRL-DUBLN","31040001083665","0","LG-PRNT","The perfect alibi","Margolin, Phillip","2019","LP FIC MARG",,,"0","0","25.00","2019-04-16","2019-04-17"
"OCRL-DUBLN","31040001083673","4","LG-PRNT","The victory garden","Bowen, Rhys","2019","LP FIC BOWE",,,"0","0","25.00","2019-04-16","2019-06-24"
"OCRL-DUBLN","31040001083681","0","LG-PRNT","The wolf and the watchman","Natt och Dag, Niklas 1979-","2019","LP FIC NATT",,,"0","0","25.00","2019-04-16","2019-04-17"
"OCRL-DUBLN","31040001083699","0","LG-PRNT","Absaroka Valley","Paine, Lauran","2019","LP WES PAIN",,,"0","0","25.00","2019-04-16","2019-04-17"
"OCRL-DUBLN","31040001083707","1","LG-PRNT","Pistol law","Lehman, Paul Evan","2019","LP WES LEHM",,,"0","0","25.00","2019-04-16","2019-06-10"
"OCRL-DUBLN","31040001083715","0","LG-PRNT","The duel","Tippette, Giles","2019","LP WES TIPP",,,"0","0","25.00","2019-04-16","2019-04-17"
"OCRL-DUBLN","31040001083723","0","LG-PRNT","The man from nowhere","Olsen, Theodore V.","2019","LP WES OLSE",,,"0","0","25.00","2019-04-16","2019-04-17"
"OCRL-DUBLN","31040001083731","1","YA","Sadie","Summers, Courtney","2018","YA SUMM",,,"0","0","25.00","2019-04-16","2019-06-18"
"OCRL-DUBLN","31040001083772","2","NEW-BKS","Blind spot","Pettrey, Dani","2017","FIC PETT",,,"1","0","25.00","2019-04-16","2019-06-17"
"OCRL-DUBLN","31040001083780","3","NEW-BKS","Fatal trust","Johnson, Todd M. (Todd Maurice) 1953-","2017","FIC JOHN",,,"0","0","25.00","2019-04-16","2019-06-26"
"OCRL-DUBLN","31040001083798","2","NEW-BKS","Jane and the twelve days of Christmas","Barron, Stephanie","2014","FIC BARR",,,"1","0","25.00","2019-04-16","2019-06-26"
"OCRL-DUBLN","31040001083806","3","NEW-BKS","Justice buried","Bradley, Patricia 1945-","2017","FIC BRAD",,,"1","0","25.00","2019-04-16","2019-06-18"
"OCRL-DUBLN","31040001083814","0","FIC","Hope Harbor : a novel","Hannon, Irene","2015","FIC HANN",,,"0","0","5.00","2019-04-16","2019-04-17"
"OCRL-DUBLN","31040001083822","2","LG-PRNT","Early riser","Fforde, Jasper","2019","LP FIC FFOR",,,"0","0","25.00","2019-04-16","2019-05-24"
"OCRL-DUBLN","31040001083830","4","LG-PRNT","Of fire and lions : a novel","Andrews, Mesu 1963-","2019","LP FIC ANDR",,,"0","0","25.00","2019-04-16","2019-06-28"
"OCRL-DUBLN","31040001083848","4","LG-PRNT","The Persian gamble","Rosenberg, Joel C. 1967-","2019","LP FIC ROSE",,,"0","0","25.00","2019-04-16","2019-06-27"
"OCRL-DUBLN","31040001084192","1","JUV","Why are ostriches so big? : and other curious bird adaptations","Fletcher, Patricia (Children's author)","2018","J 598.14 FLET","500","590","0","0","25.00","2018-07-05","2018-12-17"
"OCRL-DUBLN","31040001084200","2","JUV","Snowy owl invasion! : tracking an unusual migration","Markle, Sandra","2018","J 598.97 MARK","500","590","0","0","25.00","2018-07-05","2019-01-03"
"OCRL-DUBLN","31040001084218","3","JUV","The United States v. Jackie Robinson","Bardhan-Quallen, Sudipta","2018","J 92 ROBI",,,"0","0","25.00","2018-07-05","2019-06-20"
"OCRL-DUBLN","31040001084226","1","JUV","Trailblazer : the story of ballerina Raven Wilkinson","Schubert, Leda","2018","J 92 WILK",,,"0","0","25.00","2018-07-05","2019-06-26"
"OCRL-DUBLN","31040001084259","0","JUV","Contortion, German wheels, and other mind-bending circus science","Lüsted, Marcia Amidon","2017","J 791.3 LUST","700","790","0","0","25.00","2018-07-05","2018-09-20"
"OCRL-DUBLN","31040001084267","0","JUV","Itch! : everything you didn't want to know about what makes you scratch","Sanchez, Anita 1956-","2018","J 612.79 SANC","600","610","0","0","25.00","2018-07-05","2018-09-20"
"OCRL-DUBLN","31040001084275","0","JUV","I can make marvelous movers","Holzweiss, Kristina","2018","J 507.8 HOLZ","500","500","0","0","25.00","2018-07-05","2018-09-20"
"OCRL-DUBLN","31040001084291","0","JUV","I can make fantastic fliers","Holzweiss, Kristina","2018","J 745.592 HOLZ","700","740","0","0","25.00","2018-07-05","2018-09-20"
"OCRL-DUBLN","31040001084309","0","JUV","I can make remarkable robots","Holzweiss, Kristina","2018","J 629.892 HOLZ","600","620","0","0","25.00","2018-07-05","2018-09-20"
"OCRL-DUBLN","31040001084317","1","JUV","Amazing makerspace : basic machines","Holzweiss, Kristina","2018","J 621.81 HOLZ","600","620","0","0","25.00","2018-07-05","2018-11-12"
"OCRL-DUBLN","31040001084325","0","JUV","Amazing makerspace : movers","Holzweiss, Kristina","2018","J 531.11 HOLZ","500","530","0","0","25.00","2018-07-05","2018-09-20"
"OCRL-DUBLN","31040001084333","0","JUV","Fliers","Holzweiss, Kristina","2018","J 629.13 HOLZ","600","620","0","0","25.00","2018-07-05","2018-09-20"
"OCRL-DUBLN","31040001084341","0","JUV","Electricity","Holzweiss, Kristina","2018","J 537.078 HOLZ","500","530","0","0","25.00","2018-07-05","2018-09-20"
"OCRL-DUBLN","31040001084358","2","JUV","Many : the diversity of life on Earth","Davies, Nicola 1958-","2017","J 577.27 DAVI","500","570","0","0","25.00","2018-07-05","2019-02-18"
"OCRL-DUBLN","31040001084374","0","JUV","You can handle conflict : hands or words?","Miller, Connie Colwell 1976-","2018","J 155.4 MILL","100","150","0","0","25.00","2018-07-05","2018-10-24"
"OCRL-DUBLN","31040001084382","2","JUV","You can stay in control : wild or calm? : you choose the ending","Miller, Connie Colwell 1976-","2018","J 155.4 MILL","100","150","0","0","25.00","2018-07-05","2019-05-28"
"OCRL-DUBLN","31040001084390","3","JUV","You're angry : throw a fit or talk it out? : you choose the ending","Miller, Connie Colwell 1976-","2018","J 155.4 MILL","100","150","0","0","25.00","2018-07-05","2018-11-05"
"OCRL-DUBLN","31040001084408","3","JUV","You're in trouble : fib or truth?","Miller, Connie Colwell 1976-","2018","J 177.3 MILL","100","170","0","0","25.00","2018-07-05","2019-04-25"
"OCRL-DUBLN","31040001084416","1","JUV","You can control your voice : loud or quiet?","Miller, Connie Colwell 1976-","2018","J 395.5 MILL","300","390","0","0","25.00","2018-07-05","2018-11-05"
"OCRL-DUBLN","31040001084424","2","JUV","You can listen to directions : stop or go? : you choose the ending","Miller, Connie Colwell 1976-","2018","J 155.4 MILL","100","150","1","0","25.00","2018-07-05","2019-06-10"
"OCRL-DUBLN","31040001084432","1","JUV","Prayers for young children","Steinkühler, Martina","2018","J 242.82 STEI","200","240","0","0","25.00","2018-07-05","2019-03-18"
"OCRL-DUBLN","31040001084440","4","JUV","Astronaut, aquanaut","Swanson, Jennifer.","2018","J 627.72 SWAN","600","620","1","0","25.00","2018-07-05","2019-06-19"
"OCRL-DUBLN","31040001084457","0","JUV","Avalanches","Black, Vanessa","2017","J 551.57 BLAC","500","550","0","0","25.00","2018-07-05","2018-09-20"
"OCRL-DUBLN","31040001084465","0","JUV","Heat waves","Black, Vanessa.","2017","J 363.34 BLAC","300","360","0","0","25.00","2018-07-05","2018-09-20"
